Subset,Name,Package,Section,Description,Usage,Help
Language and syntax,<-,base R,materials/Practical_1_Introduction_to_R/01-01_using_r_and_rstudio.qmd#sec-coding_in_the_console,Assigns a value to a variable.,name <- value,https://stat.ethz.ch/R-manual/R-devel/library/base/html/assignOps.html
Language and syntax,=,base R,materials/Practical_1_Introduction_to_R/01-03_simple_variables_functions.qmd#sec-arguments,Assigns values to named function arguments.,function(argument = value),https://stat.ethz.ch/R-manual/R-devel/library/base/html/assignOps.html
Language and syntax,?,base R,materials/Practical_1_Introduction_to_R/01-03_simple_variables_functions.qmd#sec-variables,Opens the help page for a function or topic.,?topic,https://stat.ethz.ch/R-manual/R-devel/library/utils/html/help.html
Language and syntax,==,base R,materials/Practical_2_Data_Frames_and_Plots/02-01_manipulating_dataframes1.qmd,Tests whether two values are equal.,x == y,https://stat.ethz.ch/R-manual/R-devel/library/base/html/Comparison.html
Language and syntax,!=,base R,materials/Practical_2_Data_Frames_and_Plots/02-01_manipulating_dataframes1.qmd#sec-filter,Tests whether two values are not equal.,x != y,https://stat.ethz.ch/R-manual/R-devel/library/base/html/Comparison.html
Language and syntax,%in%,base R,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.qmd#sec-divide,Tests whether each value in one vector is present in another vector.,x %in% table,https://stat.ethz.ch/R-manual/R-devel/library/base/html/match.html
Language and syntax,<,base R,materials/Practical_2_Data_Frames_and_Plots/02-01_manipulating_dataframes1.qmd#sec-filter,Tests whether one value is less than another.,x < y,https://stat.ethz.ch/R-manual/R-devel/library/base/html/Comparison.html
Language and syntax,<=,base R,materials/Practical_2_Data_Frames_and_Plots/02-01_manipulating_dataframes1.qmd#sec-filter,Tests whether one value is less than or equal to another.,x <= y,https://stat.ethz.ch/R-manual/R-devel/library/base/html/Comparison.html
Language and syntax,>,base R,materials/Practical_2_Data_Frames_and_Plots/02-01_manipulating_dataframes1.qmd#sec-filter,Tests whether one value is greater than another.,x > y,https://stat.ethz.ch/R-manual/R-devel/library/base/html/Comparison.html
Language and syntax,>=,base R,materials/Practical_2_Data_Frames_and_Plots/02-01_manipulating_dataframes1.qmd#sec-filter,Tests whether one value is greater than or equal to another.,x >= y,https://stat.ethz.ch/R-manual/R-devel/library/base/html/Comparison.html
Language and syntax,|>,base R,materials/Practical_2_Data_Frames_and_Plots/02-01_manipulating_dataframes1.qmd#sec-pipe,Passes the result of one step as the first argument to the next function.,object |> function(),https://stat.ethz.ch/R-manual/R-devel/library/base/html/pipeOp.html
Language and syntax,for,base R,materials/Practical_3_Probability/03-01_for_loops.qmd#sec-loops,Repeats a block of code once for each value in a sequence.,for (item in sequence) { ... },https://cran.r-project.org/doc/manuals/r-release/R-lang.html#Looping
Language and syntax,install.packages(),base R,materials/Practical_1_Introduction_to_R/01-04_complex_variables_plotting.qmd#sec-packages,Installs an R package from CRAN. This only needs to be done once for each package.,"install.packages(""package"")",https://stat.ethz.ch/R-manual/R-devel/library/utils/html/install.packages.html
Language and syntax,library(),base R,materials/Practical_1_Introduction_to_R/01-04_complex_variables_plotting.qmd#sec-packages,Loads an installed R package so its functions are available.,library(package),https://stat.ethz.ch/R-manual/R-devel/library/base/html/library.html
Language and syntax,function(),base R,materials/Practical_6_Programming_and_Further_Statistics/06-01_functions.qmd#sec-writing_functions,Defines a new function.,name <- function(arguments) { ... },https://stat.ethz.ch/R-manual/R-devel/library/base/html/function.html
